ID,Married,Gender,Age,Graduate,Profession,Years_of_Working ,Spending_Score,Family_Members,Category,Class(Target)
2065,1,1,21,0,Healthcare,1,Low,nan,Cat_6,A
2066,1,1,41,1,Entertainment,0,Low,1,Cat_6,C
2067,0,0,52,0,Artist,0,Average,4,Cat_6,D
2068,1,1,43,1,Artist,14,Low,1,Cat_3,B
2069,1,1,28,1,Healthcare,9,Low,1,Cat_6,A
2070,0,1,32,1,Healthcare,1,Low,3,Cat_6,D
2071,0,1,22,0,Doctor,2,Low,4,Cat_6,A
2072,1,0,37,1,Doctor,0,Average,2,Cat_6,C
2073,0,1,31,1,Healthcare,1,Low,1,Cat_6,A
2074,0,0,84,0,Lawyer,0,High,2,Cat_6,B
2075,0,0,51,1,Artist,3,Average,6,Cat_6,D
2076,0,0,43,1,Entertainment,0,Average,2,Cat_3,C
2077,0,0,56,1,Artist,5,Average,4,Cat_6,D
2078,1,1,30,1,Artist,5,Low,4,Cat_6,D
2079,1,0,33,1,Artist,0,Average,2,Cat_6,C
2080,1,1,41,1,Artist,4,Low,1,Cat_6,A
2081,1,0,75,1,Lawyer,0,High,2,Cat_6,D
2082,0,1,48,1,Artist,1,Low,1,Cat_7,A
2083,1,0,40,1,Artist,9,Low,2,Cat_6,D
2084,0,1,27,1,Artist,1,Low,4,Cat_6,A
2085,0,0,66,1,Artist,0,Average,2,Cat_6,D
2086,0,1,29,0,Entertainment,9,Low,nan,Cat_2,C
2087,1,1,33,1,Artist,1,Low,6,Cat_6,A
2088,0,0,36,0,Engineer,0,Average,2,Cat_4,C
2089,0,0,62,1,Artist,1,Low,1,Cat_6,B
2090,1,0,25,0,Doctor,1,Low,2,Cat_1,C
2091,1,1,23,0,Healthcare,8,Low,4,Cat_1,A
2092,1,1,27,1,Artist,10,Low,3,Cat_6,A
2093,0,0,52,1,Artist,1,Average,4,Cat_6,B
2094,1,1,28,0,Healthcare,0,Low,5,Cat_4,B
2095,0,0,77,0,Lawyer,0,High,3,Cat_6,C
2096,1,0,47,1,Artist,0,Average,2,Cat_3,D
2097,0,0,55,1,Artist,6,Low,nan,Cat_6,D
2098,1,1,21,0,Healthcare,1,Low,4,Cat_6,A
2099,0,0,73,1,Artist,0,High,2,Cat_6,C
2100,1,0,40,0,Executive,0,Low,4,Cat_4,A
2101,0,1,33,0,Engineer,1,Low,3,Cat_6,A
2102,0,1,39,0,Healthcare,4,Low,3,Cat_6,A
2103,0,1,41,1,Doctor,0,Low,1,Cat_4,C
2104,0,0,52,1,Doctor,0,Average,4,Cat_6,D
2105,0,0,60,1,Artist,1,Average,3,Cat_6,D
2106,1,0,87,1,Lawyer,0,High,2,Cat_6,C
2107,1,1,22,0,Healthcare,1,Low,3,Cat_6,A
2108,1,0,88,0,Lawyer,1,Low,1,Cat_6,C
2109,0,1,41,1,Healthcare,12,Low,1,Cat_1,C
2110,0,1,23,0,Marketing,0,Low,8,Cat_6,D
2111,0,0,67,1,Doctor,1,Low,2,Cat_6,A
2112,0,1,23,0,Marketing,3,Low,3,Cat_6,D
2113,1,1,38,1,Artist,1,Low,1,Cat_6,C
2114,1,1,53,1,Artist,0,Low,1,Cat_6,C
2115,1,0,51,0,Artist,nan,Average,3,Cat_6,D
2116,0,1,40,1,Artist,0,Low,4,Cat_3,C
2117,1,1,20,0,Healthcare,0,Low,4,Cat_6,A
2118,1,1,31,1,nan,6,Low,1,Cat_4,A
2119,1,0,62,0,Artist,1,High,3,Cat_6,C
2120,1,0,70,0,Doctor,1,High,2,Cat_6,A
2121,0,1,45,0,Marketing,0,Low,1,Cat_6,A
2122,1,0,45,0,Executive,1,High,3,Cat_6,D
2123,0,0,77,1,Lawyer,6,High,2,Cat_6,B
2124,1,0,48,1,Executive,2,High,5,Cat_6,D
2125,1,0,39,1,Entertainment,4,Average,4,Cat_6,C
2126,0,0,50,1,Engineer,1,Low,2,Cat_6,C
2127,1,0,40,1,Engineer,7,Low,2,Cat_3,B
2128,0,0,58,1,Artist,1,Average,2,Cat_6,D
2129,1,0,65,1,Entertainment,0,Average,2,Cat_6,B
2130,1,0,40,1,Artist,1,Low,2,Cat_6,B
2131,0,0,37,1,Doctor,1,Average,2,Cat_6,D
2132,0,1,31,0,Entertainment,11,Low,5,Cat_7,A
2133,0,0,48,1,Artist,1,High,5,Cat_6,C
2134,0,1,51,1,Artist,2,Low,1,Cat_6,B
2135,1,0,69,0,Artist,0,Low,1,Cat_6,C
2136,0,0,84,1,Lawyer,1,Low,1,Cat_6,C
2137,1,1,32,1,Healthcare,9,Low,2,Cat_6,A
2138,1,0,45,1,Artist,7,Average,5,Cat_6,B
2139,1,1,40,1,Artist,1,Low,1,Cat_6,C
2140,1,0,70,1,Executive,1,High,5,Cat_3,B
2141,1,1,25,1,Healthcare,1,Low,4,Cat_6,A
2142,0,0,68,1,Artist,nan,Average,2,Cat_6,B
2143,1,1,27,1,Artist,0,Low,1,Cat_6,A
2144,1,0,42,1,Artist,9,Average,3,Cat_6,B
2145,1,0,50,1,Artist,3,Average,4,Cat_6,D
2146,1,0,58,1,Doctor,1,Average,2,Cat_6,D
2147,0,1,38,0,Marketing,0,Low,1,Cat_6,B
2148,1,1,33,0,Engineer,0,Low,4,Cat_4,C
2149,1,0,18,0,Doctor,0,Low,4,Cat_6,A
2150,0,0,49,1,Artist,0,Average,5,Cat_6,D
2151,1,1,22,0,Healthcare,1,Low,2,Cat_4,A
2152,0,1,20,0,Healthcare,0,Low,3,Cat_6,A
2153,0,0,48,1,Entertainment,2,Low,1,Cat_1,C
2154,1,0,61,1,Doctor,5,Low,3,Cat_6,A
2155,0,1,41,1,Artist,4,Low,1,Cat_6,A
2156,1,0,67,0,Executive,1,High,2,Cat_4,A
2157,0,0,65,1,Artist,0,Average,2,Cat_6,D
2158,0,1,37,0,Engineer,7,Low,1,Cat_3,D
2159,0,0,48,1,Artist,0,Average,2,Cat_6,D
2160,1,0,53,0,Executive,nan,High,4,Cat_6,B
2161,1,0,46,1,Marketing,1,Low,3,Cat_6,A
2162,1,0,74,0,Lawyer,0,Low,1,Cat_6,A
2163,1,0,42,0,Entertainment,0,Low,3,Cat_4,C
2164,1,1,28,0,Healthcare,4,Low,5,Cat_7,D
2165,0,0,35,1,Engineer,0,Average,2,Cat_4,D
2166,1,1,29,0,Doctor,5,Low,5,Cat_2,B
2167,1,0,48,1,Executive,1,High,3,Cat_6,C
2168,0,1,20,0,Healthcare,1,Low,6,Cat_4,A
2169,1,0,74,1,Lawyer,1,High,2,Cat_6,B
2170,0,0,56,1,Artist,2,Average,2,Cat_6,B
2171,1,0,60,1,Artist,0,Average,2,Cat_6,D
2172,0,0,47,1,Artist,1,Low,2,Cat_6,B
2173,1,1,42,1,Entertainment,2,Low,3,Cat_6,B
2174,1,0,55,1,Executive,2,High,3,Cat_6,D
2175,1,1,33,0,Marketing,0,Low,3,Cat_3,A
2176,0,1,18,0,Entertainment,0,Low,4,Cat_2,C
2177,1,1,33,1,Healthcare,3,Low,2,Cat_2,A
2178,1,0,42,1,Artist,0,Average,5,Cat_6,D
2179,1,0,47,0,Executive,1,High,2,Cat_3,B
2180,1,0,32,0,Executive,1,High,5,Cat_6,A
2181,1,1,27,0,Entertainment,6,Low,2,Cat_6,A
2182,0,0,47,0,Doctor,1,Low,1,Cat_6,D
2183,1,0,74,1,Lawyer,1,High,2,Cat_4,B
2184,0,0,35,0,Entertainment,4,Low,1,Cat_6,A
2185,0,0,47,1,Artist,1,Average,4,Cat_3,D
2186,0,0,46,1,Artist,1,Average,2,Cat_6,B
2187,1,0,40,0,Executive,7,Low,4,Cat_6,C
2188,1,0,38,1,Healthcare,9,Low,3,Cat_6,C
2189,0,0,49,1,Artist,7,Low,2,Cat_6,D
2190,1,0,41,0,Executive,1,High,4,Cat_6,B
2191,1,0,45,1,Doctor,1,Average,2,Cat_6,D
2192,1,0,84,1,Lawyer,nan,Low,nan,Cat_4,A
2193,1,0,43,0,Entertainment,0,Average,5,Cat_4,D
2194,0,0,48,1,Engineer,7,Low,3,Cat_3,A
2195,0,1,29,1,Homemaker,13,Low,1,Cat_6,C
2196,1,0,38,0,Artist,1,Average,3,Cat_6,D
2197,0,1,30,1,Artist,5,Low,1,nan,A
2198,1,1,20,0,Healthcare,0,Low,4,Cat_6,A
2199,1,0,49,1,Artist,1,Low,1,Cat_6,C
2200,1,1,42,1,Doctor,8,Low,1,Cat_6,D
2201,0,0,59,1,Homemaker,6,Low,1,Cat_6,B
2202,0,0,38,0,Engineer,9,Low,2,Cat_6,C
2203,0,0,79,1,Lawyer,nan,High,2,Cat_6,D
2204,0,1,28,1,Healthcare,1,Low,3,Cat_6,C
2205,0,0,60,1,Artist,0,Average,4,Cat_6,D
2206,0,0,65,1,Artist,0,Average,2,Cat_6,D
2207,0,0,69,1,Engineer,1,Low,1,Cat_3,C
2208,0,0,41,1,Artist,6,Low,1,Cat_6,A
2209,0,1,27,1,Healthcare,0,Low,3,Cat_2,B
2210,0,0,53,0,Engineer,7,Average,6,Cat_4,C
2211,1,1,18,0,Healthcare,0,Low,4,Cat_6,A
2212,1,0,51,1,Engineer,1,Average,5,Cat_6,D
2213,0,0,39,1,Homemaker,8,High,2,Cat_6,A
2214,1,1,32,0,Artist,3,Low,7,Cat_4,C
2215,1,0,50,1,Executive,4,High,3,Cat_6,D
2216,0,1,26,1,Artist,1,Low,9,Cat_6,D
2217,0,0,81,0,Lawyer,0,High,2,Cat_6,C
2218,1,nan,22,0,Healthcare,8,High,6,Cat_4,A
2219,1,0,49,1,Artist,0,Average,6,Cat_6,D
2220,0,1,42,0,Homemaker,11,Low,nan,Cat_6,C
2221,1,1,32,1,Artist,0,Low,3,Cat_3,A
2222,1,1,43,1,Artist,1,Low,3,Cat_6,B
2223,0,0,48,0,Engineer,1,Average,6,Cat_3,C
2224,0,0,42,0,Artist,8,High,5,Cat_6,B
2225,1,1,23,0,Healthcare,nan,Low,5,Cat_6,A
2226,0,0,48,0,nan,5,Average,7,Cat_4,D
2227,1,1,36,1,Artist,2,Low,1,Cat_4,B
2228,0,1,32,0,Entertainment,13,Low,5,Cat_7,B
2229,0,0,46,1,Artist,0,High,4,Cat_6,D
2230,0,1,37,1,Doctor,1,Low,1,Cat_4,C
2231,0,1,28,0,Marketing,0,Low,5,Cat_4,C
2232,1,1,33,0,Marketing,11,Low,9,Cat_6,A
2233,0,0,50,1,Artist,1,Average,2,Cat_6,C
2234,1,1,28,1,Artist,9,Low,2,Cat_6,C
2235,1,0,46,0,Entertainment,1,High,3,Cat_6,B
2236,0,1,50,1,Engineer,1,Low,5,Cat_6,C
2237,1,nan,61,1,Artist,1,Average,5,Cat_6,D
2238,0,0,73,1,Lawyer,7,Low,2,Cat_6,C
2239,1,1,42,1,Doctor,0,Low,1,Cat_6,B
2240,1,0,62,1,Artist,8,Low,1,Cat_6,A
2241,0,0,40,0,Homemaker,6,Low,1,Cat_6,A
2242,0,1,32,0,Healthcare,1,Low,5,Cat_4,B
2243,0,0,46,1,Artist,1,Average,3,Cat_6,D
2244,0,1,35,1,Artist,0,Low,1,Cat_6,B
2245,0,0,51,1,Artist,nan,High,5,Cat_6,B
2246,1,0,49,1,Artist,0,Low,1,Cat_6,D
2247,1,0,53,1,Executive,1,High,3,Cat_6,C
2248,1,1,33,0,Artist,nan,Low,nan,Cat_3,D
2249,1,0,36,1,Artist,4,Average,2,Cat_6,D
2250,1,0,40,1,Executive,0,High,4,Cat_6,C
2251,0,0,70,1,Engineer,0,High,2,Cat_6,B
2252,0,0,18,0,Artist,nan,High,nan,Cat_1,B
2253,0,nan,39,1,Artist,0,Low,1,Cat_7,B
2254,0,1,58,1,Engineer,1,Low,1,Cat_6,C
2255,1,0,61,1,Artist,1,Average,2,Cat_6,B
2256,1,0,51,1,Executive,9,Low,1,Cat_4,D
2257,1,1,42,0,Executive,9,Low,3,Cat_4,A
2258,0,1,42,1,Doctor,0,Low,1,Cat_4,A
2259,0,0,85,0,Lawyer,nan,Low,nan,nan,C
2260,0,0,35,1,Engineer,1,Low,3,Cat_3,B
2261,0,1,52,1,Healthcare,0,Low,1,Cat_3,A
2262,0,0,63,1,Marketing,2,Low,1,Cat_6,A
2263,0,0,67,1,Engineer,1,Low,1,Cat_6,B
2264,1,0,42,1,Entertainment,9,Low,2,Cat_6,C
2265,0,0,41,1,Artist,1,High,4,Cat_2,D
2266,1,0,45,0,Doctor,1,Average,3,Cat_6,B
2267,1,0,77,1,Artist,1,Low,1,Cat_6,C
2268,0,1,35,1,Artist,10,Low,1,Cat_6,C
2269,1,0,39,1,Artist,3,Average,4,Cat_4,C
2270,1,1,27,1,Healthcare,2,Low,4,Cat_1,C
2271,1,0,61,0,Executive,1,Average,3,Cat_6,B
2272,0,1,28,1,Healthcare,nan,Low,nan,Cat_3,A
2273,1,0,66,1,Entertainment,1,Average,2,Cat_6,C
2274,1,0,39,0,Executive,nan,Average,7,Cat_4,A
2275,1,nan,32,1,Healthcare,1,Low,1,Cat_6,A
2276,1,0,42,0,Artist,1,Average,5,Cat_4,C
2277,1,0,84,1,Lawyer,nan,Low,1,Cat_6,D
2278,1,0,42,1,Doctor,8,Low,2,Cat_6,C
2279,0,0,36,1,Entertainment,1,Average,4,Cat_4,C
2280,1,1,27,0,Healthcare,5,Low,3,Cat_6,A
2281,1,0,47,1,Artist,0,Low,1,Cat_6,B
2282,1,1,25,0,Homemaker,14,Low,3,Cat_5,C
2283,1,0,50,1,Executive,0,High,4,Cat_6,C
2284,1,0,42,0,Executive,3,High,3,Cat_4,C
2285,0,1,43,0,Marketing,10,Low,nan,Cat_3,A
2286,0,0,40,1,Artist,1,Average,2,Cat_6,D
2287,1,0,74,0,Executive,0,Low,nan,nan,A
2288,1,1,53,0,Engineer,1,Low,3,Cat_4,C
2289,1,0,43,1,Artist,3,Average,3,Cat_6,D
2290,1,0,70,1,Lawyer,3,Low,1,Cat_6,A
2291,0,1,25,0,Homemaker,nan,Low,4,Cat_6,D
2292,0,0,40,1,Doctor,8,Average,2,Cat_6,B
2293,0,1,30,1,Artist,0,Low,3,Cat_6,C
2294,0,1,18,0,Healthcare,1,Low,5,Cat_6,A
2295,0,1,43,1,Engineer,9,Low,1,Cat_6,C
2296,1,1,27,1,Doctor,1,Low,6,Cat_4,A
2297,0,1,29,1,Healthcare,1,Low,3,Cat_4,A
2298,0,1,29,0,Homemaker,1,Low,6,Cat_6,A
2299,1,0,47,0,Entertainment,3,Average,2,Cat_6,C
2300,1,0,62,1,Executive,0,High,4,Cat_6,D
2301,1,1,39,1,Artist,1,Low,2,Cat_6,B
2302,1,0,59,1,Artist,1,Average,4,Cat_6,B
2303,0,1,25,1,Healthcare,1,Low,3,Cat_6,B
2304,1,1,75,0,Lawyer,nan,Low,2,Cat_6,C
2305,1,0,62,1,Artist,1,Average,5,Cat_6,C
2306,0,0,49,1,Artist,1,Average,3,Cat_6,D
2307,1,1,22,0,Healthcare,1,Low,4,Cat_4,A
2308,0,1,31,1,Healthcare,8,Low,5,Cat_6,D
2309,0,1,42,1,Artist,8,Low,2,Cat_6,D
2310,1,1,41,0,Entertainment,0,Low,2,Cat_6,A
2311,1,1,26,1,Healthcare,0,Low,4,Cat_6,A
2312,0,0,73,1,Artist,0,High,2,Cat_6,B
2313,0,1,43,1,Artist,2,Low,4,Cat_6,B
2314,0,0,51,1,Homemaker,9,Average,2,Cat_6,A
2315,0,1,49,1,Marketing,0,Low,5,Cat_6,A
2316,1,0,48,0,Artist,1,Low,3,Cat_4,B
2317,1,1,36,1,Healthcare,8,Low,4,Cat_2,C
2318,0,nan,19,0,Healthcare,6,Low,5,Cat_3,A
2319,0,1,31,0,Engineer,1,Low,4,Cat_6,B
2320,0,1,40,1,Engineer,6,Low,3,Cat_6,A
2321,0,0,39,0,Artist,0,Average,4,nan,C
2322,0,0,37,1,Homemaker,3,High,3,Cat_6,C
2323,0,0,58,1,Artist,4,Average,5,Cat_6,D
2324,0,1,28,0,Homemaker,9,Low,9,Cat_4,C
2325,1,1,19,0,Healthcare,7,Low,4,Cat_4,A
2326,0,1,26,1,Engineer,9,Low,8,Cat_6,C
2327,0,1,29,0,Marketing,8,Low,4,Cat_6,A
2328,1,0,42,0,Artist,7,Average,5,Cat_6,B
2329,1,0,39,1,Artist,4,Average,2,Cat_2,B
2330,1,1,39,1,Entertainment,9,Low,2,Cat_3,B
2331,0,1,40,1,Entertainment,6,Low,nan,Cat_6,D
2332,0,0,29,0,Homemaker,nan,High,3,Cat_3,C
2333,1,1,26,0,Healthcare,0,Low,4,Cat_6,A
2334,0,1,30,1,Healthcare,13,Low,nan,Cat_6,A
2335,0,0,42,0,Engineer,0,Low,3,Cat_6,A
2336,1,0,27,1,Artist,1,Low,4,Cat_6,D
2337,1,0,82,1,Lawyer,0,High,2,Cat_6,C
2338,0,1,31,1,Doctor,0,Low,2,Cat_4,A
2339,1,0,50,1,Artist,7,Average,2,Cat_6,D
2340,1,0,38,0,Executive,1,Average,5,Cat_2,B
2341,1,0,56,1,Artist,0,Average,4,Cat_6,D
2342,0,0,58,1,Artist,0,High,3,nan,B
2343,1,0,40,0,Engineer,6,Average,5,Cat_4,A
2344,1,0,27,1,Healthcare,2,Average,2,Cat_3,C
2345,1,1,27,0,Doctor,9,Low,4,Cat_6,A
2346,1,1,30,1,Doctor,1,Low,3,Cat_4,A
2347,0,0,46,1,Homemaker,0,Average,nan,Cat_6,D
2348,0,1,28,1,Doctor,12,Low,2,Cat_7,A
2349,0,0,89,nan,Artist,1,High,2,Cat_6,D
2350,1,1,22,0,Healthcare,1,Low,4,Cat_6,A
2351,1,0,47,nan,Artist,4,Low,1,Cat_6,B
2352,1,0,50,1,Artist,1,Average,4,Cat_6,D
2353,1,0,39,1,Artist,1,Average,3,Cat_2,B
2354,0,0,59,1,Artist,0,Average,2,Cat_6,D
2355,0,1,36,1,Artist,8,Low,1,Cat_6,B
2356,1,0,49,1,Artist,0,Average,2,Cat_6,D
2357,0,1,41,0,Artist,nan,Low,2,Cat_6,B
2358,1,1,42,1,nan,nan,Low,1,Cat_6,A
2359,1,0,38,0,Entertainment,1,Average,2,Cat_6,B
2360,1,0,85,0,Executive,1,High,2,Cat_6,A
2361,0,1,52,1,Artist,0,Low,2,nan,D
2362,1,0,41,0,Entertainment,2,Average,5,Cat_6,C
2363,0,1,19,0,Healthcare,9,Low,8,Cat_5,A
2364,0,1,40,1,Entertainment,0,Low,1,Cat_3,C
2365,0,0,53,1,Artist,0,Average,5,Cat_6,A
2366,1,1,45,1,Artist,2,Low,1,Cat_6,D
2367,1,1,32,1,Engineer,nan,Low,3,Cat_6,A
2368,1,1,46,1,Artist,3,Low,1,Cat_6,D
2369,0,1,39,1,Artist,9,Low,1,Cat_6,B
2370,0,0,67,0,Engineer,nan,High,3,Cat_7,D
2371,1,0,47,1,Executive,7,High,4,Cat_6,D
2372,0,0,48,0,Artist,0,Low,nan,nan,D
2373,1,0,46,1,Executive,nan,High,4,Cat_3,B
2374,1,1,22,0,Doctor,1,Low,3,Cat_2,A
2375,1,0,29,0,Healthcare,0,Average,4,Cat_6,C
2376,1,0,52,1,Artist,0,Average,3,Cat_6,D
2377,1,0,70,0,Entertainment,nan,Low,1,Cat_6,B
2378,1,1,19,0,Healthcare,6,Low,4,Cat_3,C
2379,0,0,58,1,Entertainment,1,Average,4,Cat_6,D
2380,1,0,80,0,Lawyer,8,Low,1,Cat_6,A
2381,1,1,35,1,Artist,2,Low,2,Cat_6,C
2382,1,1,31,1,Healthcare,9,Low,3,Cat_7,A
2383,0,1,19,0,Marketing,nan,Low,4,Cat_6,C
2384,1,0,47,0,Artist,nan,Average,4,Cat_6,C
2385,1,1,20,0,Healthcare,1,Low,4,Cat_6,A
2386,0,0,84,1,Artist,0,High,2,Cat_6,B
2387,0,1,37,1,Artist,7,Low,4,Cat_4,C
2388,0,1,42,1,Artist,nan,Low,1,Cat_6,B
2389,0,nan,29,0,Entertainment,1,High,nan,Cat_1,A
2390,1,0,40,1,Entertainment,7,Low,2,Cat_6,B
2391,1,0,42,1,Doctor,9,Low,2,Cat_6,D
2392,1,0,60,1,Entertainment,nan,Average,3,Cat_6,B
2393,1,1,22,0,Healthcare,1,Low,4,Cat_4,A
2394,0,0,43,1,Doctor,0,Low,1,Cat_6,C
2395,0,nan,58,0,Executive,1,Average,3,Cat_3,B
2396,0,1,47,1,Entertainment,0,Low,1,Cat_3,C
2397,0,0,65,0,Lawyer,nan,High,3,Cat_6,C
2398,0,1,32,0,Homemaker,9,Low,1,Cat_6,A
2399,0,1,42,1,Engineer,nan,Low,1,Cat_6,C
2400,1,0,53,1,Engineer,1,Low,2,Cat_3,C
2401,1,0,35,1,Artist,9,Average,2,Cat_6,D
2402,1,1,23,0,Healthcare,3,Low,2,Cat_4,A
2403,0,0,79,1,Lawyer,1,High,2,Cat_6,C
2404,0,nan,48,1,Artist,0,Low,4,Cat_2,D
2405,0,0,36,0,Marketing,nan,Low,4,Cat_4,A
2406,0,0,65,1,Artist,13,Low,1,Cat_6,B
2407,1,1,45,1,Artist,1,Low,1,Cat_6,C
2408,0,1,49,1,Artist,1,Low,2,Cat_6,D
2409,0,nan,18,0,Healthcare,5,Low,5,Cat_3,A
2410,0,0,63,0,Artist,0,High,2,Cat_6,B
2411,0,0,41,0,Artist,0,Low,1,Cat_4,B
2412,1,0,37,1,Artist,9,Average,2,Cat_6,D
2413,0,1,19,0,Healthcare,1,Low,2,Cat_4,A
2414,1,0,75,0,Executive,1,High,2,Cat_6,A
2415,1,1,19,1,Marketing,0,Low,6,Cat_4,A
2416,0,0,73,1,Lawyer,nan,Low,5,Cat_1,A
2417,1,0,65,1,Artist,0,Average,4,Cat_2,B
2418,1,0,58,1,Artist,0,Low,2,Cat_6,D
2419,1,1,30,1,Entertainment,nan,Low,5,Cat_3,A
2420,1,1,39,1,Artist,1,Low,1,Cat_6,B
2421,1,0,42,1,Entertainment,7,Low,6,Cat_4,B
2422,1,0,72,1,Executive,1,High,2,Cat_6,A
2423,1,0,35,1,Artist,1,Average,4,Cat_3,C
2424,1,1,25,0,Healthcare,5,Low,5,Cat_3,C
2425,1,0,70,1,Lawyer,0,Low,1,Cat_6,C
2426,1,1,41,1,Doctor,2,Low,2,Cat_6,D
2427,1,0,39,1,Entertainment,9,Low,1,Cat_6,C
2428,0,0,42,1,Healthcare,9,Average,2,Cat_6,A
2429,1,0,76,0,Lawyer,1,Low,1,Cat_6,A
2430,0,0,76,1,Artist,1,High,2,Cat_6,D
2431,1,0,78,0,Executive,0,High,2,Cat_6,B
2432,0,1,33,0,Homemaker,9,Low,1,Cat_6,A
2433,1,1,23,0,Healthcare,6,Low,5,Cat_4,A
2434,1,0,37,0,Entertainment,1,Average,4,Cat_4,C
2435,1,1,31,1,Healthcare,0,Low,4,Cat_6,A
2436,1,1,71,1,Entertainment,1,Low,2,Cat_6,D
2437,1,0,51,1,Executive,1,High,4,Cat_6,D
2438,1,0,69,1,Artist,1,Low,2,Cat_6,C
2439,1,0,38,1,Doctor,11,Average,3,Cat_6,C
2440,1,1,25,1,Doctor,8,Low,2,Cat_6,A
2441,0,0,40,1,Artist,1,Low,3,Cat_6,D
2442,0,0,47,1,Doctor,1,Average,4,Cat_6,D
2443,0,nan,33,0,Healthcare,2,Low,3,Cat_2,D
2444,0,0,88,0,Lawyer,0,High,2,Cat_6,B
2445,1,1,22,0,Healthcare,nan,Low,3,Cat_6,A
2446,1,0,29,0,Executive,1,Average,3,Cat_6,A
2447,0,0,55,1,Engineer,0,Low,1,Cat_6,B
2448,1,0,50,1,Artist,0,Average,4,Cat_6,D
2449,0,0,25,1,Artist,0,Average,2,Cat_2,B
2450,0,1,31,0,Entertainment,9,Low,4,Cat_6,D
2451,0,0,46,1,Artist,4,High,5,Cat_6,D
2452,1,0,57,1,Entertainment,nan,Average,2,Cat_6,D
2453,1,1,61,1,Lawyer,1,Low,1,Cat_6,D
2454,0,0,86,1,Lawyer,1,Low,2,Cat_6,B
2455,0,0,57,1,Artist,nan,High,3,Cat_6,D
2456,0,0,78,0,Lawyer,1,High,2,Cat_4,B
2457,0,1,28,1,Artist,nan,Low,2,Cat_6,C
2458,0,1,32,0,Engineer,0,Low,3,Cat_6,C
2459,1,1,39,1,Artist,0,Low,1,Cat_1,C
2460,0,0,41,1,Artist,11,Average,2,Cat_6,B
2461,1,0,35,1,Healthcare,1,Low,1,Cat_6,A
2462,1,1,40,1,Artist,0,Low,nan,Cat_6,C
2463,0,1,46,1,Artist,0,Low,2,Cat_6,B
2464,0,0,32,0,Doctor,1,Low,5,Cat_6,C
2465,1,0,72,1,Artist,0,High,2,Cat_2,C
2466,0,0,39,0,Doctor,0,Average,4,Cat_4,D
2467,1,0,50,0,Artist,0,High,4,Cat_6,B
2468,0,0,46,1,Executive,5,High,2,Cat_6,C
2469,1,0,43,1,Doctor,14,Low,2,Cat_6,C
2470,1,0,41,1,Artist,1,Low,2,Cat_6,C
2471,0,0,38,0,Doctor,9,Average,5,Cat_4,A
2472,0,0,75,1,Artist,1,High,3,Cat_6,B
2473,0,1,23,0,Entertainment,0,Low,2,Cat_2,A
2474,1,1,52,1,Artist,1,Low,1,Cat_6,B
2475,1,1,30,0,Healthcare,0,Low,1,Cat_6,A
2476,1,0,39,1,Doctor,6,Average,2,Cat_3,D
2477,1,1,31,1,Entertainment,0,Low,4,Cat_6,A
2478,1,0,28,1,Entertainment,1,Low,2,Cat_6,A
2479,1,0,84,1,Lawyer,nan,High,3,Cat_6,B
2480,0,0,37,0,Engineer,nan,Average,4,Cat_4,C
2481,0,0,71,0,Engineer,1,High,4,Cat_3,C
2482,1,0,51,0,Artist,2,Average,4,Cat_7,D
2483,0,1,27,1,Artist,0,Low,3,Cat_6,D
2484,1,0,39,0,Executive,1,High,7,Cat_4,A
2485,0,0,36,1,Entertainment,6,Low,2,Cat_6,B
2486,1,0,61,1,Artist,1,Low,2,Cat_6,D
2487,0,1,19,0,Healthcare,1,Low,4,Cat_6,D
2488,1,1,22,0,Healthcare,1,Low,4,Cat_6,A
2489,1,0,39,1,Artist,1,Average,3,Cat_6,B
2490,0,0,33,0,Engineer,5,High,3,Cat_6,A
2491,0,0,58,1,Artist,9,Average,3,Cat_6,D
2492,0,0,72,1,Engineer,1,Low,1,Cat_6,D
2493,0,0,48,1,Artist,4,Average,2,Cat_6,D
2494,1,1,20,0,Healthcare,1,Low,2,Cat_3,A
2495,1,0,50,1,Artist,4,Average,4,Cat_3,B
2496,0,0,59,0,Lawyer,0,Low,1,Cat_2,B
2497,0,1,37,0,Marketing,12,Low,nan,Cat_3,A
2498,1,1,21,0,Healthcare,1,Low,3,Cat_6,A
2499,0,0,86,1,Lawyer,9,High,2,Cat_6,D
2500,1,1,23,0,Healthcare,3,Low,4,Cat_4,B
2501,1,0,88,1,Lawyer,nan,Low,1,Cat_6,C
2502,1,0,84,1,Lawyer,5,Low,1,Cat_6,A
2503,0,1,23,0,Healthcare,9,Low,4,Cat_6,A
2504,0,0,53,1,Artist,1,Low,2,Cat_6,D
2505,1,0,72,1,Lawyer,0,High,2,Cat_6,D
2506,0,1,26,1,Doctor,9,Low,4,Cat_6,A
2507,0,0,58,1,Artist,7,Low,2,Cat_6,D
2508,1,1,19,0,Healthcare,0,Low,4,Cat_2,A
2509,1,0,42,1,Artist,5,Average,2,Cat_6,D
2510,0,0,55,0,Engineer,3,Average,2,Cat_6,A
2511,1,0,67,0,Lawyer,0,High,2,Cat_6,D
2512,1,1,26,0,Healthcare,1,Low,1,Cat_4,A
2513,1,0,37,1,Entertainment,5,Average,2,Cat_6,D
2514,0,0,48,1,Artist,1,High,4,Cat_6,D
2515,0,0,52,nan,Engineer,1,Low,1,Cat_4,C
